|2025-05-14 13:19:41  |   vcbBasicInfo Data  |   총 4 건 조회됨   |
|2025-05-14 13:19:41  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-05-14 13:19:42  |   vcbBasicInfo Data  |   총 4 건 조회됨   |
|2025-05-14 13:19:42  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-05-14 13:19:54  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.SUBMODULEBasicInfo]   |
|2025-05-14 13:19:54  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
|2025-05-14 13:19:55  |   TotalDCCBChkController.List  |   GetTotalDCCBChkListData 실행   |
|2025-05-14 13:19:55  |   dccbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.DCCBBasicInfo]   |
|2025-05-14 13:19:55  |   DB(DCCB_BASICINFO  |   GetAllDCCBBasicInfoRepo 동작 성공   |
|2025-05-14 13:19:56  |   TotalDCCABLEChkController.List  |   GetTotalDCCABLEChkListData 실행   |
|2025-05-14 13:19:56  |   dccableBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.DCCABLEBasicInfo]   |
|2025-05-14 13:19:56  |   DB(DCCABLE_BASICINFO  |   GetAllDCCABLEBasicInfoRepo 동작 성공   |
|2025-05-14 13:19:58  |   TotalDCCABLEChkController.List  |   GetTotalDCCABLEChkListData 실행   |
|2025-05-14 13:19:58  |   dccableBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.DCCABLEBasicInfo]   |
|2025-05-14 13:19:58  |   DB(DCCABLE_BASICINFO  |   GetAllDCCABLEBasicInfoRepo 동작 성공   |
|2025-05-14 13:19:59  |   TotalDCCBChkController.List  |   GetTotalDCCBChkListData 실행   |
|2025-05-14 13:19:59  |   dccbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.DCCBBasicInfo]   |
|2025-05-14 13:19:59  |   DB(DCCB_BASICINFO  |   GetAllDCCBBasicInfoRepo 동작 성공   |
|2025-05-14 13:20:00  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.SUBMODULEBasicInfo]   |
|2025-05-14 13:20:00  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
|2025-05-14 13:20:02  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-05-14 13:20:02  |   VCBGojangController.List  |   조회된 데이터: 4건   |
|2025-05-14 13:20:04  |   TotalITRGojangController.List  |   GetTotalITRGojangListData 실행   |
|2025-05-14 13:20:04  |   ITRGojangController.List  |   조회된 데이터: 2건   |
|2025-05-14 13:20:05  |   TotalSUBMODULEGojangController.List  |   GetTotalSUBMODULEGojangListData 실행   |
|2025-05-14 13:20:05  |   SUBMODULEGojangController.List  |   조회된 데이터: 2건   |
