|2025-04-22 14:58:14  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-22 14:58:14  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-22 14:58:19  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-04-22 14:58:19  |   DB(INTERFACETR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-04-22 15:19:10  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-22 15:19:10  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-22 15:19:12  |   TotalSUBMODULEChkController.List  |   GetTotalSUBMODULEChkListData 실행   |
|2025-04-22 15:19:12  |   SUBMODULEChkController.List  |   조회된 데이터: 0건   |
|2025-04-22 15:19:13  |   TotalDCCBChkController.List  |   GetTotalDCCBChkListData 실행   |
|2025-04-22 15:19:13  |   DCCBChkController.List  |   조회된 데이터: 0건   |
|2025-04-22 15:19:15  |   TotalDCCABLEChkController.List  |   GetTotalDCCABLEChkListData 실행   |
|2025-04-22 15:19:15  |   DCCABLEChkController.List  |   조회된 데이터: 0건   |
|2025-04-22 15:19:22  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-22 15:19:22  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-22 15:19:22  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-22 15:19:25  |   TotalDCCABLEChkController.List  |   GetTotalDCCABLEChkListData 실행   |
|2025-04-22 15:19:25  |   DCCABLEChkController.List  |   조회된 데이터: 0건   |
|2025-04-22 15:23:54  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-22 15:23:54  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-22 15:23:58  |   TotalDCCBChkController.List  |   GetTotalDCCBChkListData 실행   |
|2025-04-22 15:23:58  |   DCCBChkController.List  |   조회된 데이터: 0건   |
|2025-04-22 15:23:59  |   dccbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.DCCBBasicInfo]   |
|2025-04-22 15:23:59  |   DB(DCCB_BASICINFO  |   GetAllDCCBBasicInfoRepo 동작 성공   |
|2025-04-22 15:23:59  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-22 15:24:09  |   TotalDCCBChkController.List  |   GetTotalDCCBChkListData 실행   |
|2025-04-22 15:24:09  |   DCCBChkController.List  |   조회된 데이터: 0건   |
|2025-04-22 15:24:11  |   TotalDCCABLEChkController.List  |   GetTotalDCCABLEChkListData 실행   |
|2025-04-22 15:24:11  |   DCCABLEChkController.List  |   조회된 데이터: 0건   |
|2025-04-22 15:24:11  |   dccableBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.DCCABLEBasicInfo]   |
|2025-04-22 15:24:11  |   DB(DCCABLE_BASICINFO  |   GetAllDCCABLEBasicInfoRepo 동작 성공   |
