|2025-12-10 09:56:09  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-12-10 09:56:09  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-10 09:56:09  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-10 09:56:09  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-12-10 09:56:23  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-12-10 09:56:25  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-12-10 09:56:25  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-10 09:56:25  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-10 09:56:25  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-12-10 09:56:26  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-12-10 09:56:26  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-10 09:56:26  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-10 09:56:26  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-12-10 09:56:27  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-10 09:56:27  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-10 09:56:29  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-10 09:56:29  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-10 09:56:29  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-12-10 10:02:31  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2025-12-10 10:02:31  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-12-10 10:02:32  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2025-12-10 10:02:32  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-12-10 10:02:32  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-12-10 10:04:54  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-10 10:04:54  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-10 10:04:55  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-10 10:04:55  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
