|2025-08-20 10:21:11  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-08-20 10:21:11  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-08-20 10:21:13  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-08-20 10:21:13  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-08-20 10:21:13  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-08-20 10:21:13  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-08-20 10:21:15  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-08-20 10:21:15  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-08-20 10:21:15  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-08-20 10:21:15  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-08-20 10:21:15  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-08-20 10:21:15  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-08-20 10:21:18  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-08-20 10:21:19  |   DB(VCB_BASICINFO)  |   DeleteVCBBasicInfoRepo 성공: VCBBasicInfo Tbl_Idx: 82   |
|2025-08-20 10:44:23  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-08-20 10:44:23  |   vcbBasicInfo Data  |   총 6 건 조회됨   |
|2025-08-20 10:44:23  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-08-20 10:44:23  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-08-20 10:44:26  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-08-20 10:44:26  |   vcbCode 조회 :   |   VCB001   |
|2025-08-20 10:44:26  |   VCBChkController.List  |   조회된 데이터: 3건   |
|2025-08-20 10:44:31  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-08-20 10:44:31  |   vcbCode 조회 :   |   VCB001   |
|2025-08-20 10:44:31  |   VCBChkController.List  |   조회된 데이터: 3건   |
|2025-08-20 11:02:03  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
