|2025-05-23 16:45:55  |   vcbBasicInfo Data  |   총 4 건 조회됨   |
|2025-05-23 16:45:55  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-05-23 16:45:57  |   zigzagtrBasicInfo Data  |   총 1 건 조회됨   |
|2025-05-23 16:45:57  |   DB(ZIGZAGTR_BASICINFO)  |   GetAllZIGZAGTRBasicInfoRepo 동작 성공   |
|2025-05-23 16:50:00  |   vcbBasicInfo Data  |   총 4 건 조회됨   |
|2025-05-23 16:50:00  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-05-23 16:50:03  |   zigzagtrBasicInfo Data  |   총 1 건 조회됨   |
|2025-05-23 16:50:03  |   DB(ZIGZAGTR_BASICINFO)  |   GetAllZIGZAGTRBasicInfoRepo 동작 성공   |
|2025-05-23 17:59:40  |   vcbBasicInfo Data  |   총 4 건 조회됨   |
|2025-05-23 17:59:40  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-05-23 17:59:41  |   zigzagtrBasicInfo Data  |   총 1 건 조회됨   |
|2025-05-23 17:59:41  |   DB(ZIGZAGTR_BASICINFO)  |   GetAllZIGZAGTRBasicInfoRepo 동작 성공   |
|2025-05-23 18:05:35  |   vcbBasicInfo Data  |   총 4 건 조회됨   |
|2025-05-23 18:05:35  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-05-23 18:05:38  |   zigzagtrBasicInfo Data  |   총 1 건 조회됨   |
|2025-05-23 18:05:38  |   DB(ZIGZAGTR_BASICINFO)  |   GetAllZIGZAGTRBasicInfoRepo 동작 성공   |
|2025-05-23 18:08:12  |   vcbBasicInfo Data  |   총 4 건 조회됨   |
|2025-05-23 18:08:12  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-05-23 18:08:17  |   zigzagtrBasicInfo Data  |   총 1 건 조회됨   |
|2025-05-23 18:08:17  |   DB(ZIGZAGTR_BASICINFO)  |   GetAllZIGZAGTRBasicInfoRepo 동작 성공   |
