|2025-02-11 09:55:19  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-11 09:55:20  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-11 09:55:20  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-11 09:55:20  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-11 09:55:21  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-11 09:55:26  |   DB(VCB_BASICINFO)  |   CreateVCBBasicInfoRepo 성공: VCB Serial_No: 6   |
|2025-02-11 09:55:27  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-11 09:55:27  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-11 09:55:27  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-11 09:55:27  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-11 09:58:34  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-11 09:58:34  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-11 09:58:34  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-11 09:58:34  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-11 09:58:36  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-11 09:58:47  |   DB(VCB_BASICINFO)  |   CreateVCBBasicInfoRepo 성공: VCB Serial_No: 1   |
|2025-02-11 09:58:48  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-11 09:58:48  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-11 09:58:48  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-11 09:58:48  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-11 09:58:54  |   VCBBasicController.List  |   GetVCBListData 실행   |
