|2026-03-25 13:53:37  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2026-03-25 13:53:37  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-03-25 13:53:37  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-03-25 13:53:37  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2026-03-25 13:53:40  |   ITRBasicController.List  |   GetITRListData 실행   |
|2026-03-25 13:53:40  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2026-03-25 13:53:40  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2026-03-25 13:53:40  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2026-03-25 13:53:40  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2026-03-25 13:53:40  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-03-25 13:53:40  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-03-25 13:53:40  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2026-03-25 13:53:41  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2026-03-25 13:53:43  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2026-03-25 13:53:43  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-03-25 13:53:43  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-03-25 13:53:43  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2026-03-25 13:53:46  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2026-03-25 13:53:46  |   vcbCode 조회 :   |   VCB001   |
|2026-03-25 13:53:46  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2026-03-25 13:53:46  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-03-25 13:53:46  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-03-25 13:53:46  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2026-03-25 13:54:11  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2026-03-25 13:54:11  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2026-03-25 14:02:49  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2026-03-25 14:02:49  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-03-25 14:02:49  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-03-25 14:02:49  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2026-03-25 14:02:53  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2026-03-25 14:02:53  |   vcbCode 조회 :   |   VCB001   |
|2026-03-25 14:02:53  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2026-03-25 14:02:54  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-03-25 14:02:54  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-03-25 14:02:54  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2026-03-25 14:12:36  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2026-03-25 14:12:36  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-03-25 14:12:36  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-03-25 14:12:36  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2026-03-25 14:12:38  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-03-25 14:12:38  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-03-25 14:12:39  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2026-03-25 14:12:39  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2026-03-25 14:12:40  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2026-03-25 14:12:40  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2026-03-25 14:12:40  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2026-03-25 14:12:57  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2026-03-25 14:12:57  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2026-03-25 14:12:58  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.SUBMODULEBasicInfo]   |
|2026-03-25 14:12:58  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
|2026-03-25 14:12:59  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.SUBMODULEBasicInfo]   |
|2026-03-25 14:12:59  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
|2026-03-25 14:12:59  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2026-03-25 14:13:02  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.SUBMODULEBasicInfo]   |
|2026-03-25 14:13:02  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
