|2025-02-28 12:30:10  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-28 12:30:10  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-28 12:30:10  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-28 12:30:10  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-28 16:29:20  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-28 16:29:20  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-28 16:29:20  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-28 16:29:20  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-28 16:29:29  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-28 16:29:29  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-28 16:29:29  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-28 16:29:29  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-28 16:29:30  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-28 16:29:30  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-28 16:29:30  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-28 16:29:30  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-28 16:38:27  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-28 16:38:27  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-28 16:38:27  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-28 16:38:27  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-28 16:38:38  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-28 16:38:38  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-28 16:38:38  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-28 16:38:38  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-28 16:38:40  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-28 16:38:40  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-28 16:38:40  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-28 16:38:40  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-28 16:38:41  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-28 16:38:41  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-28 16:38:41  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-28 16:38:41  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-28 16:39:27  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-28 16:39:27  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-28 16:39:27  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-28 16:39:27  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-28 16:39:30  |   VCBFHController.cs  |   GetVCBFHByVCBCode 실행   |
|2025-02-28 16:39:30  |   VCBFHController.cs  |   조회된 데이터가 없습니다.   |
|2025-02-28 17:52:42  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-28 17:52:42  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-28 17:52:42  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-28 17:52:42  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-28 17:52:44  |   VCBFHController.cs  |   GetVCBFHByVCBCode 실행   |
|2025-02-28 17:52:44  |   VCBFHController.cs  |   조회된 데이터가 없습니다.   |
|2025-02-28 17:52:49  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-28 17:52:49  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-28 17:52:49  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-28 17:52:49  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-28 17:52:51  |   VCBFHController.cs  |   GetVCBFHByVCBCode 실행   |
|2025-02-28 17:52:51  |   VCBFHController.cs  |   조회된 데이터가 없습니다.   |
|2025-02-28 17:52:54  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-28 17:52:54  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-28 17:52:54  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-28 17:52:54  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-28 17:52:56  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-28 17:52:56  |   vcbCode 조회 :   |   V001   |
|2025-02-28 17:52:56  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2025-02-28 17:52:57  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-28 17:52:57  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-28 17:52:57  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-28 17:52:57  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-28 17:52:58  |   VCBFHController.cs  |   GetVCBFHByVCBCode 실행   |
|2025-02-28 17:52:58  |   VCBFHController.cs  |   조회된 데이터가 없습니다.   |
|2025-02-28 17:52:59  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-28 17:52:59  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-28 17:52:59  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-28 17:52:59  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-28 17:53:17  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-28 17:53:17  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-28 17:53:17  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-28 17:53:17  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-28 17:53:18  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-28 17:53:18  |   vcbCode 조회 :   |   V001   |
|2025-02-28 17:53:18  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2025-02-28 17:53:19  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-28 17:53:19  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-28 17:53:19  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-28 17:53:19  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-28 17:53:20  |   VCBFHController.cs  |   GetVCBFHByVCBCode 실행   |
|2025-02-28 17:53:20  |   VCBFHController.cs  |   조회된 데이터가 없습니다.   |
|2025-02-28 18:04:39  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-28 18:04:39  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-28 18:04:39  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-28 18:04:39  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-28 18:04:40  |   VCBFHController.cs  |   GetVCBFHByVCBCode 실행   |
|2025-02-28 18:04:40  |   VCBFHController.cs  |   조회된 데이터가 없습니다.   |
|2025-02-28 18:11:09  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-28 18:11:09  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-28 18:11:09  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-28 18:11:09  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-28 18:11:11  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-28 18:11:11  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-28 18:11:11  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-28 18:11:11  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-28 18:11:16  |   VCBFHController.cs  |   GetVCBFHByVCBCode 실행   |
|2025-02-28 18:11:16  |   VCBFHController.cs  |   조회된 데이터가 없습니다.   |
