|2025-03-24 09:17:34  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-24 09:17:34  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-24 09:17:34  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-24 09:17:34  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-24 09:22:21  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-24 09:22:21  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-24 09:22:21  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-24 09:22:21  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-24 09:22:21  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-24 09:22:21  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-24 09:22:21  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-24 09:22:21  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-24 09:22:23  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-24 09:22:23  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-24 09:22:23  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-24 09:22:23  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-24 09:22:26  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-03-24 09:22:26  |   vcbCode 조회 :   |   VCB001   |
|2025-03-24 09:22:26  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-03-24 09:22:27  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-03-24 09:22:51  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-03-24 09:22:51  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2025-03-24 09:22:55  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-03-24 09:22:55  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2025-03-24 09:22:57  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-24 09:22:57  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-24 09:22:57  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-24 09:22:57  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-24 09:22:59  |   VCBFHController.cs  |   GetVCBFHByVCBCode 실행   |
|2025-03-24 09:22:59  |   VCBFHController.cs  |   조회된 데이터가 없습니다.   |
|2025-03-24 09:23:00  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-03-24 11:00:38  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-03-24 11:00:38  |   VCBChkController.List  |   조회된 데이터: 1건   |
