|2025-03-25 18:18:47  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-25 18:18:48  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 18:18:48  |   VCBMaintenanceController.List  |   조회된 데이터: 0건   |
|2025-03-25 18:18:49  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-03-25 18:18:49  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-25 18:18:49  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-03-25 18:18:54  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 18:18:54  |   VCBMaintenanceController.List  |   조회된 데이터: 1건   |
|2025-03-25 18:19:08  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 18:19:08  |   VCBMaintenanceController.List  |   조회된 데이터: 1건   |
|2025-03-25 18:19:09  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-25 18:33:21  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 18:33:21  |   VCBMaintenanceController.List  |   조회된 데이터: 1건   |
|2025-03-25 18:33:22  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-25 18:36:10  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-25 18:36:10  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-03-25 18:36:10  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-25 18:36:10  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-25 18:36:11  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-25 18:36:14  |   VCBMRController.cs  |   GetVCBMRByVCBCode 실행   |
|2025-03-25 18:36:14  |   VCBMRController.cs  |   조회된 데이터: 1건   |
|2025-03-25 18:36:16  |   VCBMRController.cs  |   GetVCBMRByVCBCode 실행   |
|2025-03-25 18:36:16  |   VCBMRController.cs  |   조회된 데이터: 1건   |
|2025-03-25 18:36:17  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-03-25 18:36:17  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-25 18:36:17  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-03-25 18:36:18  |   VCBMRController.cs  |   GetVCBMRByVCBCode 실행   |
|2025-03-25 18:36:18  |   VCBMRController.cs  |   조회된 데이터: 1건   |
|2025-03-25 18:36:21  |   VCBMRController.cs  |   GetVCBMRByVCBCode 실행   |
|2025-03-25 18:36:21  |   VCBMRController.cs  |   조회된 데이터: 1건   |
|2025-03-25 18:37:50  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-25 18:38:10  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 18:38:10  |   VCBMaintenanceController.List  |   조회된 데이터: 1건   |
|2025-03-25 18:44:23  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 18:44:23  |   VCBMaintenanceController.List  |   조회된 데이터: 1건   |
|2025-03-25 18:44:24  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
