|2025-02-05 15:25:17  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-05 15:25:17  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-05 15:25:17  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-05 15:25:17  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-05 15:25:23  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-05 15:25:23  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-05 15:25:23  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-05 15:25:23  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-05 15:32:04  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-05 15:32:04  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-05 15:32:04  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-05 15:32:04  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-05 15:32:06  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-05 15:32:06  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-05 15:32:06  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-05 15:32:06  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-05 15:32:07  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-05 15:32:07  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-05 15:32:07  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-05 15:32:07  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-05 15:32:08  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-05 15:32:08  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-05 15:32:08  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-05 15:32:08  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-05 15:32:08  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-05 15:32:08  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-05 15:32:08  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-05 15:32:08  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-05 15:32:09  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-05 15:32:09  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-05 15:32:09  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-05 15:32:09  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-05 15:32:12  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-05 15:32:12  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-05 15:32:12  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-05 15:32:12  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-05 15:32:17  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-05 15:32:17  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-05 15:32:17  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-05 15:32:17  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-05 15:32:21  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-05 15:32:21  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
