|2025-02-21 09:30:59  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-02-21 09:30:59  |   VCBChkController.List  |   조회된 데이터: 4건   |
|2025-02-21 09:31:01  |   TotalITRChkController.List  |   GetTotalITRChk1ListData 실행   |
|2025-02-21 09:31:01  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-02-21 09:31:03  |   TotalITRChkController.List  |   GetTotalITRChk2ListData 실행   |
|2025-02-21 09:31:03  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-02-21 09:31:04  |   TotalITRChkController.List  |   GetTotalITRChk1ListData 실행   |
|2025-02-21 09:31:04  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-02-21 09:31:05  |   TotalITRChkController.List  |   GetTotalITRChk2ListData 실행   |
|2025-02-21 09:31:05  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-02-21 09:31:06  |   TotalITRChkController.List  |   GetTotalITRChk1ListData 실행   |
|2025-02-21 09:31:06  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-02-21 09:31:08  |   TotalITRChkController.List  |   GetTotalITRChk2ListData 실행   |
|2025-02-21 09:31:08  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-02-21 09:31:08  |   TotalITRChkController.List  |   GetTotalITRChk1ListData 실행   |
|2025-02-21 09:31:08  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-02-21 09:31:09  |   TotalITRChkController.List  |   GetTotalITRChk2ListData 실행   |
|2025-02-21 09:31:09  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-02-21 09:31:11  |   TotalITRChkController.List  |   GetTotalITRChk1ListData 실행   |
|2025-02-21 09:31:11  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-02-21 09:31:11  |   TotalITRChkController.List  |   GetTotalITRChk2ListData 실행   |
|2025-02-21 09:31:11  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-02-21 09:31:12  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-02-21 09:31:12  |   VCBChkController.List  |   조회된 데이터: 4건   |
|2025-02-21 09:31:13  |   TotalITRChkController.List  |   GetTotalITRChk1ListData 실행   |
|2025-02-21 09:31:13  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-02-21 09:31:14  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-02-21 09:31:14  |   VCBChkController.List  |   조회된 데이터: 4건   |
|2025-02-21 09:31:15  |   TotalITRChkController.List  |   GetTotalITRChk1ListData 실행   |
|2025-02-21 09:31:15  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-02-21 12:41:25  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-02-21 12:41:25  |   VCBChkController.List  |   조회된 데이터: 4건   |
|2025-02-21 12:41:27  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-02-21 12:41:27  |   VCBChkController.List  |   조회된 데이터: 4건   |
|2025-02-21 12:41:28  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-21 12:41:28  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-21 12:41:28  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-21 12:41:28  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
