|2025-08-29 09:52:55  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-08-29 09:52:55  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-08-29 09:52:55  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-08-29 09:52:55  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-08-29 09:52:59  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-08-29 09:52:59  |   vcbCode 조회 :   |   VCB001   |
|2025-08-29 09:52:59  |   VCBChkController.List  |   조회된 데이터: 2건   |
|2025-08-29 09:53:03  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-08-29 09:53:12  |   VCBChkUpdate  |   [UpdateRiskMatrixHI] code=VCB001, hi=1, baseCof=8589.562040025, pof%=0.0000, adjustedCof=0, ok=True   |
|2025-08-29 09:53:14  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-08-29 09:53:14  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-08-29 10:07:11  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-08-29 10:07:11  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-08-29 10:07:11  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-08-29 10:07:11  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-08-29 10:07:15  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-08-29 10:07:15  |   vcbCode 조회 :   |   VCB001   |
|2025-08-29 10:07:15  |   VCBChkController.List  |   조회된 데이터: 2건   |
|2025-08-29 10:07:17  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-08-29 10:07:24  |   VCBChkUpdate  |   [UpdateRiskMatrixHI] code=VCB001, hi=5, baseCof=8589.562040025, pof%=100, adjustedCof=8589.56, ok=True   |
|2025-08-29 10:07:26  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-08-29 10:07:26  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-08-29 10:17:06  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-08-29 10:17:06  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-08-29 10:17:06  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-08-29 10:17:06  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-08-29 10:17:09  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-08-29 10:17:09  |   vcbCode 조회 :   |   VCB001   |
