|2025-07-03 10:36:08  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-07-03 10:36:08  |   vcbBasicInfo Data  |   총 0 건 조회됨   |
|2025-07-03 10:36:08  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-03 10:36:08  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-07-03 10:36:09  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-07-03 10:36:24  |   DB(VCB_BASICINFO)  |   CreateVCBBasicInfoRepo 성공: VCB Serial_No: 1   |
|2025-07-03 10:36:25  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-07-03 10:36:25  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-07-03 10:36:25  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-03 10:36:25  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-07-03 11:44:15  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-07-03 11:44:15  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-03 13:28:56  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-07-03 13:28:56  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-03 13:28:58  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-07-03 13:28:58  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-03 13:29:16  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-07-03 13:29:16  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-03 13:29:17  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-07-03 13:29:17  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-03 13:29:18  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-07-03 13:29:18  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-03 14:26:31  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-07-03 14:26:31  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-03 14:30:17  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-07-03 14:30:17  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-03 14:32:04  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-07-03 14:32:04  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-03 14:35:50  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-07-03 14:35:50  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-03 14:45:01  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-07-03 14:45:01  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-03 14:45:02  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-07-03 14:45:02  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-03 14:45:03  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-07-03 14:45:03  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-03 14:45:05  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-07-03 14:45:05  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-03 14:45:06  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
