|2026-07-13 17:46:44  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2026-07-13 17:46:44  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2026-07-13 17:46:44  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2026-07-13 17:46:52  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2026-07-13 17:46:52  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2026-07-13 17:46:54  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2026-07-13 17:46:54  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2026-07-13 17:46:54  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2026-07-13 17:46:58  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2026-07-13 17:46:58  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2026-07-13 17:46:59  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2026-07-13 17:46:59  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2026-07-13 17:53:50  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-07-13 17:53:50  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-07-13 17:53:51  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-07-13 17:53:51  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-07-13 17:54:02  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2026-07-13 17:54:02  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-07-13 17:54:02  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-07-13 17:54:02  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2026-07-13 17:54:04  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-07-13 17:54:04  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-07-13 17:54:05  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2026-07-13 17:54:05  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2026-07-13 17:54:07  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2026-07-13 17:54:07  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2026-07-13 17:54:07  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2026-07-13 17:54:44  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-07-13 17:54:44  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-07-13 17:54:45  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-07-13 17:54:45  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
