|2025-12-09 10:55:41  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 10:55:41  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 10:55:43  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 10:55:43  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 10:55:49  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2025-12-09 10:55:49  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-12-09 10:55:51  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2025-12-09 10:55:51  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-12-09 10:55:52  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.SUBMODULEBasicInfo]   |
|2025-12-09 10:55:52  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
|2025-12-09 10:55:53  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.SUBMODULEBasicInfo]   |
|2025-12-09 10:55:53  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
|2025-12-09 10:56:00  |   dccbBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.DCCBBasicInfo]   |
|2025-12-09 10:56:00  |   DB(DCCB_BASICINFO  |   GetAllDCCBBasicInfoRepo 동작 성공   |
|2025-12-09 10:56:01  |   dccbBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.DCCBBasicInfo]   |
|2025-12-09 10:56:01  |   DB(DCCB_BASICINFO  |   GetAllDCCBBasicInfoRepo 동작 성공   |
|2025-12-09 10:56:31  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 10:56:31  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 10:56:33  |   TotalDCCBChkController.List  |   GetTotalDCCBChkListData 실행   |
|2025-12-09 10:56:33  |   dccbBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.DCCBBasicInfo]   |
|2025-12-09 10:56:33  |   DB(DCCB_BASICINFO  |   GetAllDCCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:10:17  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:10:17  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:10:17  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:10:17  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:10:17  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:10:17  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:10:20  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:10:20  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:10:21  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:10:21  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:19:45  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:19:45  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:19:48  |   TotalDCCBChkController.List  |   GetTotalDCCBChkListData 실행   |
|2025-12-09 11:19:48  |   dccbBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.DCCBBasicInfo]   |
|2025-12-09 11:19:48  |   DB(DCCB_BASICINFO  |   GetAllDCCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:19:51  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:19:51  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:19:54  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:19:54  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:19:56  |   dccbBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.DCCBBasicInfo]   |
|2025-12-09 11:19:56  |   DB(DCCB_BASICINFO  |   GetAllDCCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:19:57  |   dccbBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.DCCBBasicInfo]   |
|2025-12-09 11:19:57  |   DB(DCCB_BASICINFO  |   GetAllDCCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:21:17  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:21:17  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:21:18  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:21:18  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:21:19  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:21:19  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:21:28  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:21:28  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:21:42  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:21:42  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:21:56  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:21:56  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:21:57  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:21:57  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:21:59  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:21:59  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:22:10  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:22:10  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:22:23  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:22:23  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:22:35  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:22:35  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:22:39  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:22:39  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:24:02  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:24:02  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:24:12  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:24:12  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:24:13  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:24:13  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:25:55  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:25:55  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:25:56  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:25:56  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:26:06  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:26:06  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:26:09  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:26:09  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:26:10  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:26:10  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:26:10  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:26:10  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:26:11  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:26:11  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:26:17  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:26:17  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:26:18  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:26:18  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:27:12  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-12-09 11:27:12  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:27:12  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:27:12  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-12-09 11:27:14  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:27:14  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:27:15  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:27:15  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:27:49  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2025-12-09 11:27:49  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-12-09 11:27:50  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2025-12-09 11:27:50  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-12-09 11:27:52  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:27:52  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:27:54  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:27:54  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:27:58  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.SUBMODULEBasicInfo]   |
|2025-12-09 11:27:58  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
|2025-12-09 11:27:58  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.SUBMODULEBasicInfo]   |
|2025-12-09 11:27:58  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
|2025-12-09 11:28:01  |   dccbBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.DCCBBasicInfo]   |
|2025-12-09 11:28:01  |   DB(DCCB_BASICINFO  |   GetAllDCCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:28:03  |   dccbBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.DCCBBasicInfo]   |
|2025-12-09 11:28:03  |   DB(DCCB_BASICINFO  |   GetAllDCCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:28:05  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:28:05  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:28:06  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:28:06  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:28:13  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2025-12-09 11:28:13  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-12-09 11:28:13  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2025-12-09 11:28:13  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-12-09 11:28:17  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.SUBMODULEBasicInfo]   |
|2025-12-09 11:28:17  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
|2025-12-09 11:28:19  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.SUBMODULEBasicInfo]   |
|2025-12-09 11:28:19  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
|2025-12-09 11:28:21  |   dccbBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.DCCBBasicInfo]   |
|2025-12-09 11:28:21  |   DB(DCCB_BASICINFO  |   GetAllDCCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:28:22  |   dccbBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.DCCBBasicInfo]   |
|2025-12-09 11:28:22  |   DB(DCCB_BASICINFO  |   GetAllDCCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:28:26  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:28:26  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 11:28:27  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 11:28:27  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 13:10:49  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 13:10:49  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-12-09 13:10:49  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-12-09 13:10:49  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
