|2025-04-04 13:45:37  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-04-04 13:45:37  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 13:45:37  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-04 13:45:37  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-04-04 13:45:40  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-04-04 13:45:40  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 13:45:40  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-04 13:45:40  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-04-04 13:56:17  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 13:56:17  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-04 13:57:48  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 13:57:48  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-04 14:00:06  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 14:00:06  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-04 16:20:59  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 16:20:59  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-04 17:16:48  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 17:16:48  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-04 17:30:07  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 17:30:07  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-04 17:37:00  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 17:37:00  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-04 17:37:26  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 17:37:26  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-04 17:46:45  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 17:46:45  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-04 17:48:26  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 17:48:26  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-04 17:50:24  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 17:50:24  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-04 17:51:13  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 17:51:13  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-04 17:52:05  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 17:52:05  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-04 18:02:13  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 18:02:13  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-04 18:03:11  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 18:03:11  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-04 18:06:43  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 18:06:43  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-04 18:10:00  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 18:10:00  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-04 18:10:40  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 18:10:40  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-04 18:10:58  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-04 18:10:58  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
