|2025-04-14 10:46:07  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-14 10:46:07  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-14 10:49:10  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-14 10:49:10  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-14 10:49:25  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-14 10:49:25  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-14 10:52:18  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-14 10:52:18  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-14 13:43:27  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-04-14 13:43:27  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-14 13:43:27  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-14 13:43:27  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-04-14 13:43:28  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-04-14 13:43:28  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-14 13:43:28  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-14 13:43:28  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-04-14 13:43:33  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-04-14 13:43:33  |   vcbCode 조회 :   |   VCB001   |
|2025-04-14 13:43:33  |   VCBChkController.List  |   조회된 데이터: 3건   |
|2025-04-14 13:43:35  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-04-14 13:43:35  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-14 13:43:35  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-14 13:43:35  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-04-14 13:43:36  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-14 13:43:36  |   VCBChkController.List  |   조회된 데이터: 3건   |
|2025-04-14 13:43:37  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-04-14 13:43:37  |   VCBMaintenanceController.List  |   조회된 데이터: 2건   |
|2025-04-14 13:43:39  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-04-14 13:43:39  |   VCBGojangController.List  |   조회된 데이터: 3건   |
|2025-04-14 13:43:50  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-04-14 13:43:50  |   VCBMaintenanceController.List  |   조회된 데이터: 2건   |
|2025-04-14 13:43:51  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-14 13:43:51  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-14 13:43:51  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-14 13:44:34  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-04-14 13:44:34  |   VCBMaintenanceController.List  |   조회된 데이터: 3건   |
|2025-04-14 13:44:57  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-14 13:44:57  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-14 13:45:13  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-04-14 13:45:13  |   DB(INTERFACETR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-04-14 13:45:24  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.SUBMODULEBasicInfo]   |
|2025-04-14 13:45:24  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
|2025-04-14 13:45:35  |   dccbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.DCCBBasicInfo]   |
|2025-04-14 13:45:35  |   DB(DCCB_BASICINFO  |   GetAllDCCBBasicInfoRepo 동작 성공   |
|2025-04-14 13:45:36  |   dccableBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.DCCABLEBasicInfo]   |
|2025-04-14 13:45:36  |   DB(DCCABLE_BASICINFO  |   GetAllDCCABLEBasicInfoRepo 동작 성공   |
|2025-04-14 13:45:45  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-14 13:45:45  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-14 13:45:45  |   dccableBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.DCCABLEBasicInfo]   |
|2025-04-14 13:45:45  |   DB(DCCABLE_BASICINFO  |   GetAllDCCABLEBasicInfoRepo 동작 성공   |
|2025-04-14 13:45:49  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-04-14 13:45:49  |   VCBGojangController.List  |   조회된 데이터: 3건   |
|2025-04-14 13:45:49  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-14 13:45:49  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
