|2025-08-27 08:53:24  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-08-27 08:53:24  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-08-27 08:53:24  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-08-27 08:53:24  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-08-27 08:53:27  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-08-27 08:53:27  |   vcbCode 조회 :   |   VCB001   |
|2025-08-27 08:53:27  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2025-08-27 08:53:27  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-08-27 08:53:27  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-08-27 08:53:27  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-08-27 08:53:42  |   VCBChkAdd  |   [CreateVCBChkRepo] Success=True, Message=VCB_CHK 등록 성공   |
|2025-08-27 08:53:42  |   VCBChkAdd  |   [UpdateRiskMatrixHI] code=VCB001, hi=5, baseCof=8589.562040025, pof%=100, adjustedCof=8589.56, ok=True   |
|2025-08-27 08:53:44  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-08-27 08:53:44  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-08-27 08:54:00  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-08-27 08:54:00  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-08-27 08:54:00  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-08-27 08:54:00  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-08-27 08:54:01  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-08-27 08:54:01  |   vcbCode 조회 :   |   VCB001   |
|2025-08-27 08:54:01  |   VCBChkController.List  |   조회된 데이터: 2건   |
|2025-08-27 08:55:09  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-08-27 08:58:09  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-08-27 08:58:21  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-08-27 08:58:21  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-08-27 09:01:30  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-08-27 09:01:42  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-08-27 09:01:50  |   VCBChkUpdate  |   [UpdateRiskMatrixHI] code=VCB001, hi=5, baseCof=8589.562040025, pof%=100, adjustedCof=8589.56, ok=True   |
|2025-08-27 09:01:51  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-08-27 09:01:51  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-08-27 09:03:10  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-08-27 09:06:02  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-08-27 09:06:08  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-08-27 09:06:09  |   VCBChkUpdate  |   [UpdateRiskMatrixHI] code=VCB001, hi=5, baseCof=8589.562040025, pof%=100, adjustedCof=8589.56, ok=True   |
|2025-08-27 09:06:10  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-08-27 09:06:10  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-08-27 09:06:20  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-08-27 09:06:24  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-08-27 09:07:12  |   VCBChkUpdate  |   [UpdateRiskMatrixHI] code=VCB001, hi=5, baseCof=8589.562040025, pof%=100, adjustedCof=8589.56, ok=True   |
|2025-08-27 09:07:13  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-08-27 09:07:13  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-08-27 09:07:15  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-08-27 09:07:18  |   VCBChkUpdate  |   [UpdateRiskMatrixHI] code=VCB001, hi=5, baseCof=8589.562040025, pof%=100, adjustedCof=8589.56, ok=True   |
|2025-08-27 09:07:19  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-08-27 09:07:19  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
