|2025-04-30 08:53:34  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-30 08:53:34  |   VCBChkController.List  |   조회된 데이터: 6건   |
|2025-04-30 08:56:08  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-30 08:56:21  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-30 08:56:21  |   VCBChkController.List  |   조회된 데이터: 6건   |
|2025-04-30 08:56:24  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-30 08:56:24  |   VCBChkController.List  |   조회된 데이터: 6건   |
|2025-04-30 08:56:26  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-30 08:56:26  |   VCBChkController.List  |   조회된 데이터: 6건   |
|2025-04-30 08:56:30  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-30 08:56:33  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-30 08:56:33  |   VCBChkController.List  |   조회된 데이터: 6건   |
|2025-04-30 09:02:01  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-30 09:02:01  |   VCBChkController.List  |   조회된 데이터: 6건   |
|2025-04-30 09:02:05  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-30 09:02:14  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-30 09:19:39  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-30 09:19:39  |   VCBChkController.List  |   조회된 데이터: 6건   |
|2025-04-30 09:19:42  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-30 09:20:13  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-30 09:20:13  |   VCBChkController.List  |   조회된 데이터: 6건   |
|2025-04-30 09:20:15  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-30 09:51:36  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-30 09:51:36  |   VCBChkController.List  |   조회된 데이터: 6건   |
|2025-04-30 09:51:39  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-30 09:51:39  |   VCBChkController.List  |   조회된 데이터: 6건   |
|2025-04-30 09:51:41  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-30 09:51:41  |   VCBChkController.List  |   조회된 데이터: 6건   |
|2025-04-30 09:51:42  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-30 09:51:42  |   VCBChkController.List  |   조회된 데이터: 6건   |
|2025-04-30 09:51:44  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-30 09:51:44  |   VCBChkController.List  |   조회된 데이터: 6건   |
|2025-04-30 09:51:45  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-30 10:40:46  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-04-30 10:40:46  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-30 10:40:46  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-30 10:40:46  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-04-30 10:40:48  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-30 10:40:51  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-04-30 10:40:51  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-30 10:40:51  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-30 10:40:51  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-04-30 10:40:52  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-30 10:40:52  |   VCBChkController.List  |   조회된 데이터: 6건   |
|2025-04-30 10:40:54  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-30 10:45:19  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-30 10:45:19  |   VCBChkController.List  |   조회된 데이터: 6건   |
|2025-04-30 10:45:21  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-30 11:23:49  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-30 11:23:49  |   VCBChkController.List  |   조회된 데이터: 6건   |
|2025-04-30 11:23:51  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
