|2025-09-04 15:07:10  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-09-04 15:07:12  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-09-04 15:07:12  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:07:12  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:07:12  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-09-04 15:07:13  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:07:13  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:07:14  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:07:14  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:07:14  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-09-04 15:07:18  |   VCBChkAdd  |   [CreateVCBChkRepo] Success=True, Message=VCB_CHK 등록 성공   |
|2025-09-04 15:07:18  |   VCBChkAdd  |   [UpdateRiskMatrixHI] code=VCB001, hi=1, baseCof=8589.562040025, pof%=0.0000, adjustedCof=0, ok=False   |
|2025-09-04 15:07:21  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:07:21  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:07:29  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:07:29  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:07:33  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-09-04 15:07:33  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:07:33  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:07:33  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-09-04 15:07:35  |   SUBMODULEBasicController.List  |   GetSUBMODULEListData 실행   |
|2025-09-04 15:07:35  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.SUBMODULEBasicInfo]   |
|2025-09-04 15:07:35  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
|2025-09-04 15:07:35  |   SUBMODULEBasicController.List  |   SUBMODULE 데이터 로드 성공   |
|2025-09-04 15:07:36  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-09-04 15:07:40  |   DB(SUBMODULE_BASICINFO)  |   CreateSUBMODULEBasicInfoRepo 성공: SUBMODULE Serial_No: 1   |
|2025-09-04 15:07:41  |   SUBMODULEBasicController.List  |   GetSUBMODULEListData 실행   |
|2025-09-04 15:07:41  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.SUBMODULEBasicInfo]   |
|2025-09-04 15:07:41  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
|2025-09-04 15:07:41  |   SUBMODULEBasicController.List  |   SUBMODULE 데이터 로드 성공   |
|2025-09-04 15:07:44  |   SUBMODULEChkController.List  |   GetSUBMODULEChkListData 실행   |
|2025-09-04 15:07:44  |   submoduleCode 조회 :   |   SUBMODULE001   |
