|2025-07-07 09:40:48  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 09:40:48  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:23:22  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:23:22  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:23:22  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:23:22  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:23:22  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:23:22  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:34:08  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:34:08  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:34:08  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:34:08  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:34:08  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:34:08  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:34:09  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:34:09  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:34:10  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:34:10  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:34:10  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:34:10  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:34:28  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:34:28  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:34:28  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:34:28  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:34:28  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:34:28  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:34:29  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:34:29  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:34:29  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:34:29  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:34:30  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:34:30  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:35:56  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:35:56  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:35:56  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:35:56  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:35:56  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:35:56  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:36:23  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:36:23  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:36:23  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:36:23  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:36:23  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:36:23  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:36:37  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:36:37  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:36:37  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-07 10:36:37  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-07 10:36:37  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
