|2025-07-10 09:05:28  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-10 09:05:28  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-10 09:05:29  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-10 09:05:29  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-10 09:05:44  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-10 09:05:44  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-10 09:05:45  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-10 09:05:45  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-10 09:05:54  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-10 09:05:54  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-10 09:05:55  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-10 09:05:55  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-10 09:06:27  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-10 09:06:27  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-10 09:06:28  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-10 09:06:28  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-10 09:07:46  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-10 09:07:46  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-10 09:07:47  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-10 09:07:47  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-10 09:07:59  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-10 09:07:59  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-10 09:08:01  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-10 09:08:01  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
