|2026-07-14 10:53:02  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2026-07-14 10:53:02  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-07-14 10:53:02  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-07-14 10:53:02  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2026-07-14 11:07:34  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2026-07-14 11:07:34  |   vcbBasicInfo Data  |   총 0 건 조회됨   |
|2026-07-14 11:07:34  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-07-14 11:07:34  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2026-07-14 11:07:40  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2026-07-14 11:07:40  |   vcbBasicInfo Data  |   총 0 건 조회됨   |
|2026-07-14 11:07:40  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-07-14 11:07:40  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2026-07-14 11:07:45  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2026-07-14 11:07:47  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2026-07-14 11:07:47  |   vcbBasicInfo Data  |   총 0 건 조회됨   |
|2026-07-14 11:07:47  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-07-14 11:07:47  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2026-07-14 13:10:53  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2026-07-14 13:33:42  |   DB(VCB_BASICINFO)  |   CreateVCBBasicInfoRepo 성공: VCB Serial_No: 0000001   |
|2026-07-14 13:33:43  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2026-07-14 13:33:43  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-07-14 13:33:43  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-07-14 13:33:43  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2026-07-14 13:33:45  |   ITRBasicController.List  |   GetITRListData 실행   |
|2026-07-14 13:33:45  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2026-07-14 13:33:45  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2026-07-14 13:33:45  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2026-07-14 13:33:46  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2026-07-14 13:34:18  |   DB(ITR_BASICINFO)  |   CreateInterfaceTrBasicInfoRepo 성공: ITR Serial_No: 0000001   |
|2026-07-14 13:34:19  |   ITRBasicController.List  |   GetITRListData 실행   |
|2026-07-14 13:34:19  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2026-07-14 13:34:19  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2026-07-14 13:34:19  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2026-07-14 13:34:20  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2026-07-14 13:34:48  |   DB(ITR_BASICINFO)  |   CreateInterfaceTrBasicInfoRepo 성공: ITR Serial_No: 000002   |
|2026-07-14 13:34:49  |   ITRBasicController.List  |   GetITRListData 실행   |
|2026-07-14 13:34:49  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2026-07-14 13:34:49  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2026-07-14 13:34:49  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2026-07-14 13:34:53  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2026-07-14 13:35:05  |   DB(ITR_BASICINFO)  |   UpdateInterfaceTrBasicInfoRepo 성공 SERIAL_NO: 0000001   |
|2026-07-14 13:35:52  |   SUBMODULEBasicController.List  |   GetSUBMODULEListData 실행   |
|2026-07-14 13:35:52  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.SUBMODULEBasicInfo]   |
|2026-07-14 13:35:52  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
|2026-07-14 13:35:52  |   SUBMODULEBasicController.List  |   SUBMODULE 데이터 로드 성공   |
|2026-07-14 13:36:09  |   SUBMODULEBasicController.List  |   GetSUBMODULEListData 실행   |
|2026-07-14 13:36:09  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.SUBMODULEBasicInfo]   |
|2026-07-14 13:36:09  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
|2026-07-14 13:36:09  |   SUBMODULEBasicController.List  |   SUBMODULE 데이터 로드 성공   |
|2026-07-14 13:40:04  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2026-07-14 13:40:28  |   DB(SUBMODULE_BASICINFO)  |   CreateSUBMODULEBasicInfoRepo 성공: SUBMODULE Serial_No: 000001   |
|2026-07-14 13:40:29  |   SUBMODULEBasicController.List  |   GetSUBMODULEListData 실행   |
|2026-07-14 13:40:29  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.SUBMODULEBasicInfo]   |
|2026-07-14 13:40:29  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
|2026-07-14 13:40:29  |   SUBMODULEBasicController.List  |   SUBMODULE 데이터 로드 성공   |
|2026-07-14 13:40:30  |   DCCBBasicController.List  |   GetDCCBListData 실행   |
|2026-07-14 13:40:30  |   dccbBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.DCCBBasicInfo]   |
|2026-07-14 13:40:30  |   DB(DCCB_BASICINFO  |   GetAllDCCBBasicInfoRepo 동작 성공   |
|2026-07-14 13:40:30  |   DCCBBasicController.List  |   DCCB 데이터 로드 성공   |
