|2025-03-20 09:00:17  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-20 09:00:17  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-20 09:00:17  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-20 09:00:17  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-20 09:00:22  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-03-20 09:00:22  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-03-20 09:00:22  |   DB(INTERFACETR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-03-20 09:00:22  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-03-20 09:00:24  |   ITRChk1Controller.List  |   GetITRChk1ListData 실행   |
|2025-03-20 09:00:24  |   itrCode 조회 :   |      |
|2025-03-20 09:00:24  |   ITRChk1Controller.List  |   조회된 데이터: 0건   |
|2025-03-20 09:00:25  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-03-20 09:00:45  |   ITRChk1Controller.List  |   GetITRChk1ListData 실행   |
|2025-03-20 09:00:45  |   itrCode 조회 :   |      |
|2025-03-20 09:00:45  |   ITRChk1Controller.List  |   조회된 데이터: 0건   |
|2025-03-20 09:01:10  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-03-20 09:01:10  |   VCBChkController.List  |   조회된 데이터: 3건   |
|2025-03-20 09:01:11  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-20 09:01:11  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-20 09:01:11  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-20 09:01:11  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-20 09:01:12  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-03-20 09:01:12  |   VCBChkController.List  |   조회된 데이터: 3건   |
|2025-03-20 09:01:16  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-20 09:01:16  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-20 09:01:16  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-20 09:01:16  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-20 09:01:18  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-03-20 09:01:18  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-03-20 09:01:18  |   DB(INTERFACETR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-03-20 09:01:18  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-03-20 09:01:19  |   ITRChk1Controller.List  |   GetITRChk1ListData 실행   |
|2025-03-20 09:01:19  |   itrCode 조회 :   |      |
|2025-03-20 09:01:19  |   ITRChk1Controller.List  |   조회된 데이터: 0건   |
