|2025-06-18 09:26:51  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-06-18 09:26:51  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-06-18 09:26:51  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-06-18 09:26:51  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-06-18 09:27:00  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-06-18 09:27:00  |   vcbCode 조회 :   |   VCB001   |
|2025-06-18 09:27:00  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-06-18 09:27:02  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-06-18 09:27:02  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-06-18 09:27:02  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-06-18 10:09:44  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-06-18 10:09:44  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-06-18 10:09:44  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-06-18 10:09:45  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-06-18 10:09:47  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-06-18 10:09:47  |   vcbCode 조회 :   |   VCB001   |
|2025-06-18 10:09:47  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-06-18 10:09:48  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-06-18 10:09:48  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-06-18 10:09:48  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-06-18 10:10:04  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-06-18 10:10:04  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-06-18 10:14:53  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-06-18 10:14:53  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-06-18 10:14:53  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-06-18 10:14:53  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-06-18 10:14:54  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-06-18 10:14:54  |   vcbCode 조회 :   |   VCB001   |
|2025-06-18 10:14:54  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2025-06-18 10:14:55  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
