|2025-03-03 18:31:54  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-03 18:31:54  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-03 18:31:54  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-03 18:31:54  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-03 18:32:06  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-03-03 18:32:06  |   vcbCode 조회 :   |   V001   |
|2025-03-03 18:32:06  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2025-03-03 18:32:07  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-03 18:32:07  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-03 18:32:07  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-03 18:32:07  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-03 18:32:07  |   VCBFHController.cs  |   GetVCBFHByVCBCode 실행   |
|2025-03-03 18:32:07  |   VCBFHController.cs  |   조회된 데이터가 없습니다.   |
|2025-03-03 18:32:17  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-03 18:32:17  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-03 18:32:17  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-03 18:32:17  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-03 18:32:24  |   VCBFHController.cs  |   GetVCBFHByVCBCode 실행   |
|2025-03-03 18:32:24  |   VCBFHController.cs  |   조회된 데이터가 없습니다.   |
|2025-03-03 18:32:28  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-03 18:32:28  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-03 18:32:28  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-03 18:32:28  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-03 18:45:25  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-03 18:45:25  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-03 18:45:25  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-03 18:45:25  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-03 18:45:35  |   VCBFHController.cs  |   GetVCBFHByVCBCode 실행   |
|2025-03-03 18:45:35  |   VCBFHController.cs  |   조회된 데이터가 없습니다.   |
|2025-03-03 18:49:38  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-03 18:49:38  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-03 18:49:38  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-03 18:49:38  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-03 18:49:40  |   VCBFHController.cs  |   GetVCBFHByVCBCode 실행   |
|2025-03-03 18:49:40  |   VCBFHController.cs  |   조회된 데이터가 없습니다.   |
