|2025-02-27 10:20:58  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-27 10:20:58  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-27 10:20:58  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-27 10:20:58  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-27 10:21:15  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-27 10:21:15  |   vcbCode 조회 :   |   V001   |
|2025-02-27 10:21:15  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2025-02-27 10:21:19  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-27 10:21:19  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-27 10:21:19  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-27 10:21:19  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-27 10:21:20  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-27 10:21:20  |   vcbCode 조회 :   |   V001   |
|2025-02-27 10:21:20  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2025-02-27 10:21:21  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-27 10:21:21  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-27 10:21:21  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-27 10:21:21  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-27 10:21:22  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-27 10:21:22  |   vcbCode 조회 :   |   V001   |
|2025-02-27 10:21:22  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2025-02-27 10:21:23  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-27 10:21:23  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-27 10:21:23  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-27 10:21:23  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-27 10:21:23  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-27 10:21:23  |   vcbCode 조회 :   |   V001   |
|2025-02-27 10:21:23  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2025-02-27 10:21:24  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-27 10:21:24  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-27 10:21:24  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-27 10:21:24  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-27 10:21:25  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-27 10:21:25  |   vcbCode 조회 :   |   V001   |
|2025-02-27 10:21:25  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2025-02-27 10:21:26  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-27 10:21:26  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-27 10:21:26  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-27 10:21:26  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-27 10:21:26  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-27 10:21:26  |   vcbCode 조회 :   |   V001   |
|2025-02-27 10:21:26  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2025-02-27 10:21:33  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-27 10:21:36  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-27 10:21:36  |   vcbCode 조회 :   |   V001   |
|2025-02-27 10:21:36  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2025-02-27 10:21:39  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-27 10:21:39  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-27 10:21:39  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-27 10:21:39  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-27 10:21:42  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-27 10:21:42  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-27 10:21:42  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-27 10:21:42  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-27 10:21:49  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-27 10:21:49  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-27 10:21:49  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-27 10:21:49  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-27 10:21:55  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-27 10:21:55  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-27 10:21:55  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-27 10:21:55  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-27 10:22:07  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-02-27 10:22:07  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-02-27 10:22:07  |   DB(INTERFACETR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-02-27 10:22:07  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-02-27 10:22:17  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-27 10:22:19  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-02-27 10:22:19  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-02-27 10:22:19  |   DB(INTERFACETR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-02-27 10:22:19  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-02-27 10:22:20  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-27 10:22:21  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-02-27 10:22:21  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-02-27 10:22:21  |   DB(INTERFACETR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-02-27 10:22:21  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-02-27 10:22:26  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-02-27 10:22:26  |   VCBChkController.List  |   조회된 데이터: 3건   |
|2025-02-27 10:22:29  |   TotalITRChkController.List  |   GetTotalITRChk1ListData 실행   |
|2025-02-27 10:22:29  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-02-27 10:23:18  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-27 10:23:18  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-27 10:23:18  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-27 10:23:18  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
