|2025-03-04 00:15:46  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-04 00:15:46  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-04 00:15:46  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-04 00:15:46  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-04 00:15:47  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-04 00:15:47  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-04 00:15:47  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-04 00:15:47  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-04 00:15:48  |   VCBFHController.cs  |   GetVCBFHByVCBCode 실행   |
|2025-03-04 00:15:48  |   VCBFHController.cs  |   조회된 데이터가 없습니다.   |
|2025-03-04 00:15:49  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-04 00:15:49  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-04 00:15:49  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-04 00:15:49  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-04 00:15:50  |   VCBFHController.cs  |   GetVCBFHByVCBCode 실행   |
|2025-03-04 00:15:50  |   VCBFHController.cs  |   조회된 데이터가 없습니다.   |
|2025-03-04 00:15:51  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-04 00:15:51  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-04 00:15:51  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-04 00:15:51  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-04 00:19:23  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-03-04 00:19:23  |   VCBGojangController.List  |   조회된 데이터: 0건   |
