|2025-02-18 13:26:05  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 13:26:05  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 13:26:05  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 13:26:05  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 13:26:07  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 13:26:07  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 13:26:07  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 13:26:07  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 13:26:08  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:26:08  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:26:10  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 13:26:12  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:26:12  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:26:14  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:26:14  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:26:15  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:26:15  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:26:16  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:26:16  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:26:18  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:26:18  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:26:19  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:26:19  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:26:20  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:26:20  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:26:27  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:26:27  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:26:30  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:26:30  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:26:31  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:26:31  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:27:13  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 13:27:13  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 13:27:13  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 13:27:13  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 13:27:16  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:27:16  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:27:19  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 13:27:20  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:27:20  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:27:21  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:27:21  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:27:22  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:27:22  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:27:23  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:27:23  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:27:24  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:27:24  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:27:24  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:27:24  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:36:19  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 13:36:19  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 13:36:19  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 13:36:19  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 13:36:20  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:36:20  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:36:21  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 13:41:06  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 13:41:06  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 13:41:06  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 13:41:06  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 13:41:07  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:41:07  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:41:08  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 13:42:29  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 13:42:29  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
