|2025-02-14 09:01:58  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-14 09:01:58  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-14 09:01:58  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-14 09:01:58  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-14 09:31:31  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-14 09:31:31  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-14 09:31:31  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-14 09:31:31  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-14 09:31:33  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-14 09:31:36  |   DB(VCB_BASICINFO)  |   CreateVCBBasicInfoRepo 성공: VCB Serial_No: 2   |
|2025-02-14 09:31:36  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-14 09:31:36  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-14 09:31:36  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-14 09:31:36  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-14 09:32:48  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-14 09:32:48  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-14 09:32:48  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-14 09:32:48  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-14 09:32:50  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-14 09:33:01  |   DB(VCB_BASICINFO)  |   CreateVCBBasicInfoRepo 성공: VCB Serial_No: 1   |
|2025-02-14 09:33:01  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-14 09:33:01  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-14 09:33:01  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-14 09:33:01  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-14 09:33:03  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-14 09:33:10  |   DB(VCB_BASICINFO)  |   CreateVCBBasicInfoRepo 성공: VCB Serial_No: 2   |
|2025-02-14 09:33:10  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-14 09:33:10  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-14 09:33:10  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-14 09:33:10  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-14 09:33:11  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-14 09:33:23  |   DB(VCB_BASICINFO)  |   CreateVCBBasicInfoRepo 성공: VCB Serial_No: 3   |
|2025-02-14 09:33:23  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-14 09:33:23  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-14 09:33:23  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-14 09:33:23  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-14 09:42:45  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-14 09:42:45  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-14 09:42:45  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-14 09:42:45  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-14 09:42:46  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-14 09:42:47  |   DB(VCB_BASICINFO)  |   CreateVCBBasicInfoRepo 성공: VCB Serial_No: 1   |
|2025-02-14 09:42:47  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-14 09:42:47  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-14 09:42:47  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-14 09:42:47  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-14 09:45:52  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-14 09:45:52  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-14 09:45:52  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-14 09:45:52  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-14 09:45:53  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-14 09:45:58  |   DB(VCB_BASICINFO)  |   CreateVCBBasicInfoRepo 성공: VCB Serial_No: 2   |
|2025-02-14 09:45:58  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-14 09:45:58  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-14 09:45:58  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-14 09:45:58  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-14 09:46:01  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-14 09:46:01  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-14 09:46:01  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-14 09:46:01  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-14 09:49:25  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-14 09:49:25  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-14 09:49:25  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-14 09:49:25  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-14 09:49:26  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-14 09:49:29  |   DB(VCB_BASICINFO)  |   CreateVCBBasicInfoRepo 성공: VCB Serial_No: 3   |
|2025-02-14 09:49:29  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-14 09:49:29  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-14 09:49:29  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-14 09:49:29  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-14 09:49:30  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-14 09:49:30  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-14 09:49:30  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-14 09:49:30  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-14 09:49:31  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-14 09:49:35  |   DB(VCB_BASICINFO)  |   CreateVCBBasicInfoRepo 성공: VCB Serial_No: 4   |
|2025-02-14 09:49:35  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-14 09:49:35  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-14 09:49:35  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-14 09:49:35  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-14 09:49:36  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-14 09:49:36  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
