|2025-07-08 08:58:57  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-08 08:58:57  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-08 08:58:57  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-08 08:58:57  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-08 08:58:57  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-08 08:58:57  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-08 10:56:16  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-08 10:56:16  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-08 10:56:16  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-08 10:56:16  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-08 10:56:16  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-08 10:56:16  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-08 11:11:24  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-08 11:11:24  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-08 11:11:24  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-08 11:11:24  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-08 11:11:24  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-08 11:11:24  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-08 11:11:29  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-08 11:11:29  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-08 11:11:29  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-08 11:11:29  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-08 11:11:29  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-08 11:11:29  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-08 11:15:15  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-08 11:15:15  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-08 11:15:15  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-08 11:15:15  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-08 11:15:15  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-08 11:15:15  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-08 11:15:19  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-08 11:15:19  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-08 11:15:19  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-08 11:15:19  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-08 11:15:19  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-08 11:15:19  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-08 11:15:46  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
