|2025-02-20 17:31:04  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-20 17:31:04  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-20 17:31:04  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-20 17:31:04  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-20 17:31:07  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-20 17:31:07  |   vcbCode 조회 :   |      |
|2025-02-20 17:31:07  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-20 18:47:26  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-20 18:47:26  |   vcbCode 조회 :   |      |
|2025-02-20 18:47:26  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-20 19:03:26  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-20 19:03:26  |   vcbCode 조회 :   |      |
|2025-02-20 19:03:26  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-20 19:03:44  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-20 19:03:44  |   vcbCode 조회 :   |      |
|2025-02-20 19:03:44  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-20 19:03:48  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-20 19:03:48  |   vcbCode 조회 :   |      |
|2025-02-20 19:03:48  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-20 19:44:17  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-20 19:44:17  |   vcbCode 조회 :   |      |
|2025-02-20 19:44:17  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-20 19:45:35  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-02-20 19:45:35  |   VCBChkController.List  |   조회된 데이터: 4건   |
|2025-02-20 19:45:39  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-02-20 19:45:39  |   VCBChkController.List  |   조회된 데이터: 4건   |
|2025-02-20 19:45:40  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-02-20 19:45:40  |   VCBChkController.List  |   조회된 데이터: 4건   |
|2025-02-20 19:45:41  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-02-20 19:45:41  |   VCBChkController.List  |   조회된 데이터: 4건   |
|2025-02-20 19:46:17  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-02-20 19:46:17  |   VCBChkController.List  |   조회된 데이터: 4건   |
