|2025-03-26 14:07:33  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-03-26 14:07:33  |   VCBGojangController.List  |   조회된 데이터: 3건   |
|2025-03-26 14:07:39  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-26 14:07:51  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-03-26 14:07:51  |   VCBGojangController.List  |   조회된 데이터: 3건   |
|2025-03-26 14:08:05  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-26 14:08:05  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-26 14:08:05  |   VCBMaintenanceController.List  |   조회된 데이터: 1건   |
|2025-03-26 14:08:10  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-26 14:08:10  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-03-26 14:08:10  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-26 14:08:10  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-26 14:08:14  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-03-26 14:08:14  |   VCBChkController.List  |   조회된 데이터: 2건   |
|2025-03-26 14:08:14  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-03-26 14:08:14  |   VCBGojangController.List  |   조회된 데이터: 3건   |
|2025-03-26 14:08:18  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-03-26 14:08:18  |   VCBChkController.List  |   조회된 데이터: 2건   |
|2025-03-26 14:08:19  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-03-26 14:08:19  |   VCBGojangController.List  |   조회된 데이터: 3건   |
|2025-03-26 14:08:22  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-03-26 14:08:22  |   VCBGojangController.List  |   조회된 데이터: 3건   |
|2025-03-26 14:10:54  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
