|2025-07-29 09:34:23  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 09:34:23  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 09:34:24  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 09:34:24  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 10:05:50  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 10:05:50  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 10:05:51  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 10:05:51  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 10:14:30  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 10:14:30  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 10:14:31  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 10:14:31  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 10:15:53  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 10:15:53  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 10:15:56  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 10:15:56  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 10:16:14  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 10:16:14  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 10:16:16  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 10:16:16  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 10:31:28  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 10:31:28  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 10:31:28  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 10:31:28  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 10:31:48  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 10:31:48  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 10:31:49  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 10:31:49  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 10:37:02  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 10:37:02  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 10:37:03  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 10:37:03  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 10:52:01  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 10:52:01  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 10:52:02  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 10:52:02  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 10:55:50  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 10:55:50  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 10:55:52  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 10:55:52  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 10:56:07  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 10:56:07  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 10:56:08  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 10:56:08  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 11:01:33  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 11:01:33  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 11:01:34  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 11:01:34  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 11:02:24  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 11:02:24  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 11:02:25  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 11:02:25  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 11:10:01  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 11:10:01  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 11:10:03  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 11:10:03  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 11:10:11  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 11:10:11  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 11:10:12  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 11:10:12  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 11:11:15  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-29 11:11:15  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-29 11:11:16  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-29 11:11:16  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-29 11:11:22  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 11:11:22  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 11:11:24  |   vcbBasicInfo Data  |   총 7 건 조회됨   |
|2025-07-29 11:11:24  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-29 11:11:55  |   dccableBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.DCCABLEBasicInfo]   |
|2025-07-29 11:11:55  |   DB(DCCABLE_BASICINFO  |   GetAllDCCABLEBasicInfoRepo 동작 성공   |
|2025-07-29 11:11:57  |   dccableBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.DCCABLEBasicInfo]   |
|2025-07-29 11:11:57  |   DB(DCCABLE_BASICINFO  |   GetAllDCCABLEBasicInfoRepo 동작 성공   |
