|2025-04-17 17:52:10  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-17 17:52:10  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-17 17:52:13  |   TotalSUBMODULEChkController.List  |   GetTotalSUBMODULEChkListData 실행   |
|2025-04-17 17:52:13  |   SUBMODULEChkController.List  |   조회된 데이터: 0건   |
|2025-04-17 17:52:15  |   TotalSUBMODULEChkController.List  |   GetTotalSUBMODULEChkListData 실행   |
|2025-04-17 17:52:15  |   SUBMODULEChkController.List  |   조회된 데이터: 0건   |
|2025-04-17 17:52:16  |   TotalSUBMODULEChkController.List  |   GetTotalSUBMODULEChkListData 실행   |
|2025-04-17 17:52:16  |   SUBMODULEChkController.List  |   조회된 데이터: 0건   |
|2025-04-17 17:52:17  |   TotalDCCABLEChkController.List  |   GetTotalDCCABLEChkListData 실행   |
|2025-04-17 17:52:17  |   DCCABLEChkController.List  |   조회된 데이터: 0건   |
|2025-04-17 17:52:21  |   TotalDCCABLEChkController.List  |   GetTotalDCCABLEChkListData 실행   |
|2025-04-17 17:52:21  |   DCCABLEChkController.List  |   조회된 데이터: 0건   |
|2025-04-17 17:52:21  |   TotalSUBMODULEChkController.List  |   GetTotalSUBMODULEChkListData 실행   |
|2025-04-17 17:52:21  |   SUBMODULEChkController.List  |   조회된 데이터: 0건   |
|2025-04-17 17:52:24  |   TotalITRChkController.List  |   GetTotalITRChk1ListData 실행   |
|2025-04-17 17:52:24  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-04-17 17:52:25  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-17 17:52:25  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-17 17:52:27  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-17 17:52:27  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-17 17:52:28  |   TotalSUBMODULEChkController.List  |   GetTotalSUBMODULEChkListData 실행   |
|2025-04-17 17:52:28  |   SUBMODULEChkController.List  |   조회된 데이터: 0건   |
|2025-04-17 17:52:38  |   TotalSUBMODULEChkController.List  |   GetTotalSUBMODULEChkListData 실행   |
|2025-04-17 17:52:38  |   SUBMODULEChkController.List  |   조회된 데이터: 0건   |
|2025-04-17 17:52:39  |   TotalSUBMODULEChkController.List  |   GetTotalSUBMODULEChkListData 실행   |
|2025-04-17 17:52:39  |   SUBMODULEChkController.List  |   조회된 데이터: 0건   |
|2025-04-17 19:40:06  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-17 19:40:06  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-17 19:40:07  |   TotalDCCBChkController.List  |   GetTotalDCCBChkListData 실행   |
|2025-04-17 19:40:07  |   DCCBChkController.List  |   조회된 데이터: 0건   |
|2025-04-17 19:40:08  |   TotalDCCABLEChkController.List  |   GetTotalDCCABLEChkListData 실행   |
|2025-04-17 19:40:08  |   DCCABLEChkController.List  |   조회된 데이터: 0건   |
|2025-04-17 19:40:09  |   TotalDCCBChkController.List  |   GetTotalDCCBChkListData 실행   |
|2025-04-17 19:40:09  |   DCCBChkController.List  |   조회된 데이터: 0건   |
|2025-04-17 19:40:09  |   TotalSUBMODULEChkController.List  |   GetTotalSUBMODULEChkListData 실행   |
|2025-04-17 19:40:09  |   SUBMODULEChkController.List  |   조회된 데이터: 0건   |
|2025-04-17 19:40:10  |   TotalITRChkController.List  |   GetTotalITRChk1ListData 실행   |
|2025-04-17 19:40:10  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-04-17 19:40:11  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-17 19:40:11  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-17 19:40:11  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-17 19:40:11  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-17 19:40:12  |   TotalITRChkController.List  |   GetTotalITRChk1ListData 실행   |
|2025-04-17 19:40:12  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-04-17 19:40:14  |   TotalITRChkController.List  |   GetTotalITRChk1ListData 실행   |
|2025-04-17 19:40:14  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-04-17 19:40:14  |   TotalSUBMODULEChkController.List  |   GetTotalSUBMODULEChkListData 실행   |
|2025-04-17 19:40:14  |   SUBMODULEChkController.List  |   조회된 데이터: 0건   |
|2025-04-17 19:40:15  |   TotalDCCBChkController.List  |   GetTotalDCCBChkListData 실행   |
|2025-04-17 19:40:15  |   DCCBChkController.List  |   조회된 데이터: 0건   |
|2025-04-17 19:40:16  |   TotalDCCABLEChkController.List  |   GetTotalDCCABLEChkListData 실행   |
|2025-04-17 19:40:16  |   DCCABLEChkController.List  |   조회된 데이터: 0건   |
|2025-04-17 19:40:17  |   TotalITRChkController.List  |   GetTotalITRChk1ListData 실행   |
|2025-04-17 19:40:17  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
