|2025-04-07 09:11:01  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 09:11:01  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 09:52:19  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 09:52:19  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 09:54:45  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 09:54:45  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 09:56:04  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 09:56:04  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 09:56:58  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 09:56:58  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 10:28:32  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 10:28:32  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 10:30:04  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 10:30:04  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 10:30:43  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 10:30:43  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 10:31:28  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 10:31:28  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 10:49:06  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 10:49:06  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 10:51:09  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 10:51:09  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 10:51:10  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 10:51:10  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 10:51:47  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 10:51:47  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 11:18:11  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 11:18:11  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 12:43:17  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 12:43:17  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 12:50:32  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 12:50:32  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 12:50:59  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 12:50:59  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 12:51:33  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 12:51:33  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 12:51:48  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 12:51:48  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 12:52:04  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 12:52:04  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 12:52:36  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 12:52:36  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-07 12:52:57  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-07 12:52:57  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
