|2025-03-07 09:57:38  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-07 09:57:38  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-07 09:57:38  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-07 09:57:38  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-07 09:57:47  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-03-07 09:57:47  |   VCBChkController.List  |   조회된 데이터: 3건   |
|2025-03-07 09:58:10  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-07 09:58:10  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-07 09:58:10  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-07 09:58:10  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-07 09:59:01  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-03-07 09:59:01  |   VCBChkController.List  |   조회된 데이터: 3건   |
|2025-03-07 10:03:06  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-07 10:03:06  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-07 10:03:06  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-07 10:03:06  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-07 10:03:13  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-07 10:03:13  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-07 10:03:13  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-07 10:03:13  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-07 10:05:53  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-03-07 10:05:53  |   VCBChkController.List  |   조회된 데이터: 3건   |
|2025-03-07 10:05:55  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-03-07 10:05:55  |   VCBChkController.List  |   조회된 데이터: 3건   |
|2025-03-07 10:05:56  |   TotalITRChkController.List  |   GetTotalITRChk1ListData 실행   |
|2025-03-07 10:05:56  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-03-07 10:05:58  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-03-07 10:05:58  |   VCBChkController.List  |   조회된 데이터: 3건   |
